# airline	from	to	codeshare	stops	equipment
# Date: 2009-12-07
2K	GYE	MIA		0	752
2K	GYE	SCY		0	722
2K	GYE	UIO		0	732 722 752
2K	JFK	GYE		0	767
2K	MEC	UIO		0	732
2K	MIA	GYE		0	752
2K	SCY	GYE		0	722
2K	UIO	BOG		0	732
2K	UIO	CUE		0	732
2K	UIO	GYE		0	732 722 752
2K	UIO	MEC		0	732
2L	SKP	ZRH		0	100
2L	ZRH	SKP		0	100
2M	BUD	KIV		0	S20
2M	KIV	BUD		0	S20
2M	KIV	TSR	*	0	100
2M	TSR	KIV	*	0	100
2N	AJR	ARN		0	ATP
2N	AJR	LYC		0	ATP
2N	ARN	AJR		0	ATP
2N	ARN	GEV		0	ATP
2N	ARN	HFS		0	BEH
2N	ARN	KRF		0	ATP
2N	ARN	LYC		0	ATP
2N	ARN	MXX		0	BEH
2N	ARN	VHM		0	SF3
2N	BMA	OSD		0	SF3
2N	CPH	LPI		0	SF3
2N	EVG	MXX		0	BEH
2N	GEV	ARN		0	ATP
2N	GEV	KRF		0	ATP
2N	HFS	ARN		0	BEH
2N	HFS	TYF		0	BEH
2N	HMV	VHM		0	SF3
2N	KRF	ARN		0	ATP
2N	KRF	GEV		0	ATP
2N	LLA	UME		0	SF3
2N	LPI	CPH		0	SF3
2N	LPI	ORB		0	SF3
2N	LYC	AJR		0	ATP
2N	LYC	ARN		0	ATP
2N	MXX	ARN		0	BEH
2N	MXX	EVG		0	BEH
2N	ORB	LPI		0	SF3
2N	OSD	BMA		0	SF3
2N	OSD	UME		0	SF3
2N	TYF	ARN		0	BEH
2N	TYF	HFS		0	BEH
2N	UME	LLA		0	SF3
2N	UME	OSD		0	SF3
2N	VHM	ARN		0	SF3
2N	VHM	HMV		0	SF3
2O	ADQ	AOS		0	BNI
2O	ADQ	KLN		0	BNI
2O	ADQ	KOZ		0	BNI
2O	KLN	KYK		0	BNI
2O	KOZ	ORI		0	BNI
2P	BCD	CEB		0	DH4 DH3
2P	BXU	CEB		0	DH3
2P	CEB	BCD		0	DH4 DH3
2P	CEB	BXU		0	DH3
2P	CEB	CGY		0	DH4
2P	CEB	DPL		0	DH4
2P	CEB	GES		0	DH4
2P	CEB	ILO		0	DH4 DH3
2P	CEB	KLO		0	DH3
2P	CEB	OZC		0	DH3
2P	CEB	TAC		0	DH4
2P	CEB	ZAM		0	DH4
2P	CGY	CEB		0	DH4
2P	CRM	MNL		0	DH4
2P	CYP	MNL		0	DH3
2P	DPL	CEB		0	DH4
2P	DVO	ZAM		0	DH4
2P	GES	CEB		0	DH4
2P	ILO	CEB		0	DH4 DH3
2P	KLO	CEB		0	DH3
2P	MNL	CRM		0	DH4
2P	MNL	CYP		0	DH3
2P	MNL	OMC		0	DH3
2P	MNL	SJI		0	DH4
2P	MNL	SUG		0	DH4
2P	MNL	TUG		0	DH4
2P	MNL	USU		0	DH3
2P	MNL	VRC		0	DH4
2P	MNL	WNP		0	DH4
2P	MNL	WNP	*	0	737
2P	OMC	MNL		0	DH3
2P	OZC	CEB		0	DH3
2P	SJI	MNL		0	DH4
2P	SUG	MNL		0	DH4
2P	TAC	CEB		0	DH4
2P	TUG	MNL		0	DH4
2P	USU	MNL		0	DH3
2P	VRC	MNL		0	DH4
2P	WNP	MNL		0	DH4
2P	WNP	MNL	*	0	737
2P	ZAM	CEB		0	DH4
2P	ZAM	DVO		0	DH4
2Q	AGH	BMA		0	AT7 S20
2Q	AGH	VBY		0	SF3
2Q	ARN	MHQ		0	SF3
2Q	BMA	AGH		0	AT7 S20
2Q	BMA	KLR		0	SF3
2Q	BMA	OSD		0	S20 SF3
2Q	BMA	RNB		0	S20 SF3
2Q	BMA	SDL		0	S20
2Q	BMA	VBY		0	AT7 SF3
2Q	BMA	VXO		0	SF3
2Q	CPH	RNN		0	SF3
2Q	GOT	VBY		0	SF3
2Q	HEL	MHQ		0	SF3
2Q	KLR	BMA		0	SF3
2Q	MHQ	ARN		0	SF3
2Q	MHQ	HEL		0	SF3
2Q	OSD	BMA		0	S20 SF3
2Q	RNB	BMA		0	S20 SF3
2Q	RNN	CPH		0	SF3
2Q	SDL	BMA		0	S20
2Q	VBY	AGH		0	SF3
2Q	VBY	BMA		0	AT7 SF3
2Q	VBY	GOT		0	SF3
2Q	VXO	BMA		0	SF3
2T	BEN	TIP		0	722
2T	SEB	TIP		0	722
2T	TIP	BEN		0	722
2T	TIP	SEB		0	722
2U	BCN	TLV		0	757
2U	CDG	TLV		0	757
2U	CDG	VDA		0	757
2U	DME	ETH		0	757
2U	DME	TLV		0	738
2U	DUS	TLV		0	738
2U	ETH	DME		0	757
2U	ETH	TLV		0	757
2U	FCO	TLV		0	757
2U	FRA	TLV		0	738
2U	GVA	CDG		0	757
2U	MUC	TLV		0	757
2U	TLV	BCN		0	757
2U	TLV	CDG		0	757
2U	TLV	DME		0	738
2U	TLV	DUS		0	738
2U	TLV	ETH		0	757
2U	TLV	FCO		0	757
2U	TLV	FRA		0	738
2U	TLV	GVA		0	757
2U	TLV	MUC		0	757
2W	GOT	HAJ		0	D38
2W	GOT	SVG		0	D38
2W	GRZ	INN		0	D38
2W	HAJ	GOT		0	D38
2W	HAJ	INN		0	D38
2W	INN	GRZ		0	D38
2W	INN	HAJ		0	D38
2W	SVG	GOT		0	D38
3B	MUC	OSR		0	SF3
3B	OSR	MUC		0	SF3
3B	OSR	VIE		0	SF3
3B	VIE	OSR		0	SF3
3E	IRK	STL		0	PAG
3E	STL	IRK		0	PAG
3F	CGA	HYL		0	DHP
3F	CGA	KTN		0	DHP
3F	HYL	CGA		0	DHP
3F	HYL	KTN		0	DHP
3F	KTB	KTN		0	DHP
3F	KTN	CGA		0	DHP
3F	KTN	HYL		0	DHP
3F	KTN	KTB		0	DHP
3F	KTN	MTM		0	DHP
3F	MTM	KTN		0	DHP
3H	AKV	YIK		0	DHT
3H	AKV	YPX		0	DHT
3H	XGR	YVP		0	DHT BET
3H	YGL	YGW		0	DHT
3H	YGL	YPX		0	DH8
3H	YGL	YUL		0	DH8
3H	YGW	YGL		0	DHT
3H	YGW	YPH		0	DH8
3H	YGW	YSK		0	DHT
3H	YGW	YUD		0	DH8
3H	YGW	YUL		0	DH8
3H	YGW	YZG		0	DH8
3H	YIK	AKV		0	DHT
3H	YIK	YZG		0	DHT
3H	YKG	YPJ		0	DHT DH8
3H	YKG	YQC		0	DH8
3H	YKG	YVP		0	DH8 DHT
3H	YKL	YQB		0	DH8
3H	YKL	YVP		0	DH8 BE1
3H	YKL	YWK		0	BE1
3H	YKL	YZV		0	BE1
3H	YPH	YGW		0	DH8
3H	YPH	YPX		0	DH8 BE1
3H	YPH	YUD		0	DH8
3H	YPJ	YKG		0	DHT DH8
3H	YPJ	YTQ		0	DHT DH8
3H	YPJ	YVP		0	DHT BE1
3H	YPX	AKV		0	DHT
3H	YPX	YGL		0	DH8
3H	YPX	YPH		0	DH8
3H	YPX	YVP		0	BE1
3H	YPX	YZG		0	DH8
3H	YQB	YKL		0	DH8
3H	YQB	YUL		0	DH8
3H	YQC	YKG		0	DH8
