"   30" "Campbell River Airport" "Campbell River" "Canada" "YBL" "CYBL" " 49.9508018" "-125.271004" "  346" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
"   31" "Brandon Municipal Airport" "Brandon" "Canada" "YBR" "CYBR" " 49.9100000" " -99.951897" " 1343" " -6.00" "A" "airport" "OurAirports" "America/Winnipeg"
"   32" "Cambridge Bay Airport" "Cambridge Bay" "Canada" "YCB" "CYCB" " 69.1081009" "-105.138000" "   90" " -7.00" "A" "airport" "OurAirports" "America/Cambridge_Bay"
"   33" "Nanaimo Airport" "Nanaimo" "Canada" "YCD" "CYCD" " 49.0549702" "-123.869863" "   92" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
"   34" "Castlegar/West Kootenay Regional Airport" "Castlegar" "Canada" "YCG" "CYCG" " 49.2963982" "-117.632004" " 1624" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
"   35" "Miramichi Airport" "Chatham" "Canada" "YCH" "CYCH" " 47.0078010" " -65.449203" "  108" " -4.00" "A" "airport" "OurAirports" "America/Moncton"
"   36" "Charlo Airport" "Charlo" "Canada" "YCL" "CYCL" " 47.9907990" " -66.330299" "  132" " -4.00" "A" "airport" "OurAirports" "America/Moncton"
"   37" "Kugluktuk Airport" "Coppermine" "Canada" "YCO" "CYCO" " 67.8167038" "-115.143997" "   74" " -7.00" "A" "airport" "OurAirports" "America/Cambridge_Bay"
"   38" "Coronation Airport" "Coronation" "Canada" "YCT" "CYCT" " 52.0750008" "-111.445000" " 2595" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"   39" "Chilliwack Airport" "Chilliwack" "Canada" "YCW" "CYCW" " 49.1528015" "-121.939003" "   32" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
"   40" "Clyde River Airport" "Clyde River" "Canada" "YCY" "CYCY" " 70.4860992" " -68.516701" "   87" " -5.00" "A" "airport" "OurAirports" "America/Iqaluit"
"   41" "Coral Harbour Airport" "Coral Harbour" "Canada" "YZS" "CYZS" " 64.1932983" " -83.359398" "  210" " -5.00" "A" "airport" "OurAirports" "America/Coral_Harbour"
"   42" "Dawson City Airport" "Dawson" "Canada" "YDA" "CYDA" " 64.0430984" "-139.128006" " 1215" " -8.00" "A" "airport" "OurAirports" "America/Whitehorse"
"   43" "Burwash Airport" "Burwash" "Canada" "YDB" "CYDB" " 61.3711014" "-139.041000" " 2647" " -8.00" "A" "airport" "OurAirports" "America/Whitehorse"
"   44" "Princeton Airport" "Princeton" "Canada" "YDC" "CYDC" " 49.4681015" "-120.511002" " 2298" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
"   45" "Deer Lake Airport" "Deer Lake" "Canada" "YDF" "CYDF" " 49.2108002" " -57.391399" "   72" " -3.50" "A" "airport" "OurAirports" "America/St_Johns"
"   46" "Dease Lake Airport" "Dease Lake" "Canada" "YDL" "CYDL" " 58.4221992" "-130.031998" " 2600" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
"   47" "Dauphin Barker Airport" "Dauphin" "Canada" "YDN" "CYDN" " 51.1007996" "-100.052002" "  999" " -6.00" "A" "airport" "OurAirports" "America/Winnipeg"
"   48" "Dawson Creek Airport" "Dawson Creek" "Canada" "YDQ" "CYDQ" " 55.7422981" "-120.182999" " 2148" " -7.00" "A" "airport" "OurAirports" "America/Dawson_Creek"
"   49" "Edmonton International Airport" "Edmonton" "Canada" "YEG" "CYEG" " 53.3097000" "-113.580002" " 2373" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"   50" "Arviat Airport" "Eskimo Point" "Canada" "YEK" "CYEK" " 61.0942001" " -94.070801" "   32" " -6.00" "A" "airport" "OurAirports" "America/Rankin_Inlet"
"   51" "Estevan Airport" "Estevan" "Canada" "YEN" "CYEN" " 49.2103004" "-102.966003" " 1905" " -6.00" "N" "airport" "OurAirports" "America/Regina"
