# airline	from	to	codeshare	stops	equipment
# Date: 2011-01-20
2P	CEB	SUG		0	DH4
2P	CEB	TAC		0	DH4
2P	CEB	ZAM		0	DH4
2P	CGY	CEB		0	DH4
2P	CGY	DVO		0	DH4
2P	CGY	MNL		0	320
2P	CRM	CEB		0	DH4
2P	CRM	MNL		0	DH4
2P	CYP	MNL		0	DH4
2P	DVO	CEB		0	320
2P	DVO	CGY		0	DH4
2P	DVO	MNL		0	320
2P	DVO	ZAM		0	DH4
2P	ILO	CEB		0	DH4
2P	ILO	MNL		0	320
2P	JOL	ZAM		0	DH4
2P	LGP	MNL		0	320
2P	MBT	MNL		0	DH3
2P	MNL	BCD		0	320
2P	MNL	CEB		0	320
2P	MNL	CGY		0	320
2P	MNL	CRM		0	DH4
2P	MNL	CYP		0	DH4
2P	MNL	DVO		0	320
2P	MNL	ILO		0	320
2P	MNL	LGP		0	320
2P	MNL	MBT		0	DH3
2P	MNL	MPH		0	DH3
2P	MNL	PPS		0	320
2P	MNL	SIN		0	320
2P	MNL	SJI		0	DH3
2P	MNL	SUG		0	DH4
2P	MNL	TAG		0	320
2P	MNL	TUG		0	DH4
2P	MNL	USU		0	DH4
2P	MNL	WNP		0	DH4
2P	MNL	ZAM		0	320
2P	MPH	CEB		0	DH3
2P	MPH	MNL		0	DH3
2P	OZC	CEB		0	DH4
2P	PPS	MNL		0	320
2P	PPS	USU		0	DH4
2P	PUS	CEB		0	320
2P	SIN	CEB		0	320
2P	SIN	MNL		0	320
2P	SJI	MNL		0	DH3
2P	SUG	CEB		0	DH4
2P	SUG	MNL		0	DH4
2P	TAC	CEB		0	DH4
2P	TAG	MNL		0	320
2P	TUG	MNL		0	DH4
2P	TWT	ZAM		0	DH4
2P	USU	MNL		0	DH4
2P	USU	PPS		0	DH4
2P	WNP	MNL		0	DH4
2P	ZAM	CEB		0	DH4
2P	ZAM	DVO		0	DH4
2P	ZAM	JOL		0	DH4
2P	ZAM	MNL		0	320
2P	ZAM	TWT		0	DH4
2W	CGN	INN		0	D38
2W	CGN	INN		1	D38
2W	GRZ	INN		0	D38
2W	HAJ	INN		0	D38
2W	INN	CGN		0	D38
2W	INN	CGN		1	D38
2W	INN	GRZ		0	D38
2W	INN	HAJ		0	D38
2Z	APL	MPM		0	AR8
2Z	BEW	MPM		0	AR8
2Z	JNB	MPM		0	AR8
2Z	MPM	APL		0	AR8
2Z	MPM	BEW		0	AR8
2Z	MPM	JNB		0	AR8
2Z	MPM	TET		0	AR8
2Z	TET	MPM		0	AR8
3B	BRQ	PRG		0	SF3
3B	LEJ	PRG		0	SF3
3B	OSR	PRG		0	SF3
3B	OSR	VIE		0	SF3
3B	POZ	PRG		0	SF3
3B	PRG	BRQ		0	SF3
3B	PRG	LEJ		0	SF3
3B	PRG	OSR		0	SF3
3B	PRG	POZ		0	SF3
3B	VIE	OSR		0	SF3
3E	BRL	ORD		0	CNC
3E	BRL	STL		0	CNC
3E	DEC	ORD		0	CNC
3E	DEC	STL		0	CNC
3E	ORD	BRL		0	CNC
3E	ORD	DEC		0	CNC
3E	STL	BRL		0	CNC
3E	STL	DEC		0	CNC
3F	HYL	KTN		0	DHP
3F	KTN	CGA		0	DHP
3F	KTN	HYL		0	DHP
3F	KTN	KTB		0	DHP
3F	KTN	MTM		0	DHP
3F	MTM	KTN		0	DHP
3H	AKV	YIK		0	DH8
3H	AKV	YPX		0	DH8
3H	XGR	YVP		0	DHT BET
3H	YGL	YGW		0	DHT
3H	YGL	YPX		0	73M DH8
3H	YGL	YUL		0	73M DH8
3H	YGW	YGL		0	DHT
3H	YGW	YSK		0	DH8 DHT
3H	YGW	YUD		0	DH8
3H	YGW	YUL		0	DH8
3H	YIK	AKV		0	DH8
3H	YIK	YZG		0	DH8
3H	YKG	YPJ		0	DHT DH8
3H	YKG	YQC		0	DH8
3H	YKG	YVP		0	DH8 DHT
3H	YKL	YQB		0	DH8
3H	YKL	YVP		0	DH8 BET
3H	YKL	YWK		0	BET
3H	YKL	YZV		0	BET
3H	YPH	YPX		0	DH8 BET
3H	YPH	YUD		0	DH8
3H	YPH	YVP		0	BET
3H	YPJ	YKG		0	DHT DH8
3H	YPJ	YTQ		0	DHT DH8
3H	YPJ	YVP		0	DHT BET
3H	YPX	AKV		0	DH8
3H	YPX	YGL		0	73M DH8
3H	YPX	YPH		0	DH8
3H	YPX	YVP		0	BET
3H	YPX	YZG		0	DH8
3H	YQB	YKL		0	DH8
3H	YQB	YUL		0	DH8
3H	YQC	YKG		0	DH8
3H	YQC	YWB		0	DH8
